"Core.ID","year","earlywood","latewood","ring","Tag","diam.latewood","diam.earlywood","BA.latewood","BA.earlywood","bai.latewood","bai.earlywood"
"1427-N",1940,0.0448,0.0199,0.0647,"1427",45.497,45.4771,1625.75614114354,1624.33426841151,1.42187273202921,3.19872339564154
"1427-N",1941,0.0515,0.0556,0.1071,"1427",45.6041,45.5485,1633.41921432592,1629.43875002055,3.98046430536692,3.68260887700808
"1427-N",1942,0.0653,0.0256,0.0909,"1427",45.695,45.6694,1639.93730294822,1638.10031269004,1.8369902581735,4.68109836412555
"1427-N",1943,0.0681,0.0361,0.1042,"1427",45.7992,45.7631,1647.42504999426,1644.82899566681,2.59605432745775,4.89169271858873
"1427-N",1944,0.0718,0.0404,0.1122,"1427",45.9114,45.871,1655.50674158368,1652.59447815664,2.91226342704499,5.16942816237247
"1427-N",1945,0.0647,0.0731,0.1378,"1427",46.0492,45.9761,1665.45944116201,1660.17602889461,5.28341226740554,4.66928731092526
"1427-N",1946,0.0574,0.0637,0.1211,"1427",46.1703,46.1066,1674.23059620207,1669.61399553622,4.61660066584113,4.15455437421292
"1427-N",1947,0.0773,0.0399,0.1172,"1427",46.2875,46.2476,1682.7412132378,1679.84140502397,2.89980821383301,5.61080882190663
"1427-N",1948,0.0592,0.0347,0.0939,"1427",46.3814,46.3467,1689.57544152264,1687.04829328623,2.52714823640622,4.30708004842904
"1427-N",1949,0.0517,0.0724,0.1241,"1427",46.5055,46.4331,1698.628933725,1693.3441821888,5.2847515362082,3.76874066615483
"1427-N",1950,0.0904,0.1019,0.1923,"1427",46.6978,46.5959,1712.70562075857,1705.23913256371,7.46648819486495,6.61019883870358
"1427-N",1951,0.0561,0.0992,0.1553,"1427",46.8531,46.7539,1724.11624245193,1716.82318087652,7.29306157540987,4.11756011795137
"1427-N",1952,0.0618,0.0488,0.1106,"1427",46.9637,46.9149,1732.26564224312,1728.66751673803,3.59812550508946,4.55127428610058
"1427-N",1953,0.0762,0.0952,0.1714,"1427",47.1351,47.0399,1744.93296347634,1737.89150765833,7.04145581801299,5.6258654152075
"1427-N",1954,0.0559,0.0793,0.1352,"1427",47.2703,47.191,1754.9574793915,1749.074233681,5.88324571049861,4.1412702046548
"1427-N",1955,0.0727,0.0939,0.1666,"1427",47.4369,47.343,1767.34966402419,1760.35975183775,6.98991218643869,5.40227244625089
"1427-N",1956,0.0995,0.0426,0.1421,"1427",47.579,47.5364,1777.95392105173,1774.77155363567,3.18236741605665,7.42188961148349
"1427-N",1957,0.0818,0.0815,0.1633,"1427",47.7423,47.6608,1790.1794039582,1784.07265626712,6.10674769107709,6.11873521539178
"1427-N",1958,0.0758,0.1338,0.2096,"1427",47.9519,47.8181,1805.93253101346,1795.86841852733,10.0641124861272,5.68901456913727
"1427-N",1959,0.0727,0.0907,0.1634,"1427",48.1153,48.0246,1818.2612248126,1811.41264006195,6.84858475065153,5.48010904849116
"1427-N",1960,0.0802,0.0937,0.1739,"1427",48.2892,48.1955,1831.4282228212,1824.32773931252,7.10048350868715,6.06651449991386
"1427-N",1961,0.0768,0.1242,0.201,"1427",48.4902,48.366,1846.70630578716,1837.25832713323,9.44797865393207,5.83010431202388
"1427-N",1962,0.0855,0.0964,0.1819,"1427",48.6721,48.5757,1860.58729341677,1853.22443074198,7.3628626747925,6.51812495481863
"1427-N",1963,0.0885,0.0702,0.1587,"1427",48.8308,48.7606,1872.74031701236,1867.35961994846,5.38069706390161,6.77232653168494
"1427-N",1964,0.0716,0.0766,0.1482,"1427",48.979,48.9024,1884.12498725759,1878.23629547842,5.88869177917309,5.49597846605934
"1427-N",1965,0.0521,0.1233,0.1754,"1427",49.1544,49.0311,1897.64373039683,1888.13548648463,9.50824391219976,4.01049922704237
"1427-N",1966,0.0837,0.0323,0.116,"1427",49.2704,49.2381,1906.61083862655,1904.11183946873,2.49899915782271,6.46810907189752
"1427-N",1967,0.0638,0.0478,0.1116,"1427",49.382,49.3342,1915.25776440381,1911.55175764373,3.70600676008826,4.94091901717411
"1427-N",1968,0.0795,0.0583,0.1378,"1427",49.5198,49.4615,1925.96169525198,1921.42946892123,4.53222633074961,6.17170451742049
"1427-N",1969,0.0595,0.0766,0.1361,"1427",49.6559,49.5793,1936.56285261142,1930.59271419448,5.97013841694729,4.63101894249303
"1427-N",1970,0.0652,0.0263,0.0915,"1427",49.7474,49.7211,1943.70636459832,1941.65174607754,2.05461852077815,5.0888934661134
"1427-N",1971,0.0643,0.043,0.1073,"1427",49.8547,49.8117,1952.10015457617,1948.73420885313,3.36594572303466,5.02784425481514
"1427-N",1972,0.0504,0.0411,0.0915,"1427",49.9462,49.9051,1959.2722396624,1956.04905322669,3.22318643570998,3.94889865052551
"1427-N",1973,0.0703,0.0186,0.0889,"1427",50.0351,50.0165,1966.25312366554,1964.79152928788,1.46159437766028,5.51928962547436
"1427-N",1974,0.0528,0.0072,0.06,"1427",50.0951,50.0879,1970.97164817637,1970.40512665811,0.566521518265745,4.15200299257094
"1427-N",1975,0.061,0.0276,0.0886,"1427",50.1837,50.1561,1977.94967655818,1975.77461178624,2.17506477194434,4.80296360986199
"1427-N",1976,0.0661,0.0107,0.0768,"1427",50.2605,50.2498,1984.00832796584,1983.1636634921,0.844664473741204,5.2139869339203
"1427-N",1977,0.043,0.0187,0.0617,"1427",50.3222,50.3035,1988.88247173216,1987.40458754471,1.4778841874504,3.39625957886756
"1427-N",1978,0.0654,0.0295,0.0949,"1427",50.4171,50.3876,1996.39100350022,1994.05543462609,2.3355688741342,5.17296289392993
"1427-N",1979,0.0691,0.0268,0.0959,"1427",50.513,50.4862,2003.99302672517,2001.86712781542,2.12589890974755,5.4761243152011
